Crop,Provinces,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Irrigated Palay,Negros Occidental,41710,45970,47290,45470,49810,49900,52540,63350,55540,69659,63605,53707,79797,79749,73188,75643,75682,79154,79830,82065,82830,83548,83745,81758,83388,83761,82077,82870,84508,79258,84445,85210,85205,85012,85265,85281
Irrigated Palay,Bohol,14180,13320,13690,12650,13950,12730,14420,17090,16930,19960,21940,14428,22168,21935,24260,21021,25515,26584,24447,26922,28732,31323,31173,35386,36828,37167,37592,37728,37205,31429,38613,39346,32426,38243,39506,36380
Irrigated Palay,Cebu,4180,4450,3410,5010,4880,3100,3060,3330,3475,3706,4062,2800,4295,4770,4760,4885,4680,4804,4507,4654,4602,4763,4730,4316,4750,4658,4754,4578,4189,4016,4047,3859,3518,3327,3421,3596.39
Irrigated Palay,Negros Oriental,20620,24230,39540,37800,36330,34990,22430,16700,19190,16070,15970,13990,14910,15930,16255,15495,16243,16370,16685,17172,17640,17978,17427,17019,17356,17268,17549,16315,16993,15820,18246,17502,15856,16467,18050,16748
Irrigated Palay,Siquijor,830,340,2320,990,810,630,600,630,675,774,803,484,757,822,837,849,798,790,776,725,644,723,753,744,745,666,610,600,671,492,610,623,426,396,510,681.41
Irrigated Palay,Biliran,0,0,0,0,0,0,0,12300,14870,14034,13845,13079,13803,14122,14197,14348,14466,14489,14583,14787,14750,14730,14708,14672,14688,14688,14688,14689,14689,14679,14359,12383,12291,12303,12292,12169
Irrigated Palay,Eastern Samar,1010,310,350,380,510,640,630,650,1397,1482,1400,1103,1535,1508,1516,1556,1564,1576,1589,1686,2425,3139,3244,3269,4584,4845,4953,5003,4951,5002,4997,4880,4898,4833,4657.06,3916.78
Irrigated Palay,Leyte,66970,66750,62070,59790,65530,65650,69260,51150,55531,56440,57450,55385,62438,59575,64826,66254,66326,66405,66633,67004,82579,87409,84697,83385,86835,86196,81231,81720,78915,77542,78204,79756,78830,77623,78679.27,79226
Irrigated Palay,Northern Samar,380,1590,1070,1150,1880,2570,3260,3310,3350,3375,3387,3009,3365,3338,3370,3425,3483,3537,3670,3730,3882,4261,4087,4506,4320,4029,4317,4338,4327,4450,4472,3176,3231,4240,2720,2724.71
Irrigated Palay,Samar,1260,3350,2520,3020,2620,3200,2730,3860,3960,4039,4075,3468,4087,4084,4086,4095,4101,4112,4123,4127,4271,4658,4743,4742,5101,5134,5082,4974,4621,4613,4553,4596,4705,5526,5717,5995
Irrigated Palay,Southern Leyte,7070,7090,7910,6780,6730,8540,10040,10850,11275,11724,12350,11467,12155,12297,14368,13788,13768,14170,14329,14633,14770,17201,19368,18680,18598,18955,19039,19004,18997,18975,18796,18675,17731,17646,17457,14618.86
Irrigated Palay,Zamboanga del Norte,6960,6340,11650,9940,11430,7910,8170,10290,11168,11774,13940,12931,13520,13179,13379,14805,13510,13231,13234,13405,13168,15203,15135,13236,14000,13945,16098,14877,14440,11770,15270,15530,14671,14671,16506.51,16229.28
