Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5610","Import Quantity","23161.03","Rice, broken","2013","2013","tonnes","1081","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5610","Import Quantity","23161.03","Rice, broken","2014","2014","tonnes","3208","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5610","Import Quantity","23161.03","Rice, broken","2015","2015","tonnes","8914","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5610","Import Quantity","23161.03","Rice, broken","2017","2017","tonnes","3633","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5610","Import Quantity","23161.03","Rice, broken","2018","2018","tonnes","751","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5610","Import Quantity","23161.03","Rice, broken","2019","2019","tonnes","51811.37","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5610","Import Quantity","23161.03","Rice, broken","2020","2020","tonnes","35621.66","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5071","Stock Variation","23161.03","Rice, broken","2010","2010","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5071","Stock Variation","23161.03","Rice, broken","2011","2011","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5071","Stock Variation","23161.03","Rice, broken","2012","2012","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5071","Stock Variation","23161.03","Rice, broken","2013","2013","tonnes","0","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5071","Stock Variation","23161.03","Rice, broken","2014","2014","tonnes","-2574","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5071","Stock Variation","23161.03","Rice, broken","2015","2015","tonnes","0","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5071","Stock Variation","23161.03","Rice, broken","2016","2016","tonnes","0","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5071","Stock Variation","23161.03","Rice, broken","2017","2017","tonnes","0","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5071","Stock Variation","23161.03","Rice, broken","2018","2018","tonnes","0","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5071","Stock Variation","23161.03","Rice, broken","2019","2019","tonnes","42628.28","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5071","Stock Variation","23161.03","Rice, broken","2020","2020","tonnes","27797.3","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5910","Export Quantity","23161.03","Rice, broken","2010","2010","tonnes","0","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5910","Export Quantity","23161.03","Rice, broken","2011","2011","tonnes","0","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5910","Export Quantity","23161.03","Rice, broken","2012","2012","tonnes","0","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5910","Export Quantity","23161.03","Rice, broken","2013","2013","tonnes","0","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5910","Export Quantity","23161.03","Rice, broken","2017","2017","tonnes","6","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5910","Export Quantity","23161.03","Rice, broken","2020","2020","tonnes","0","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5023","Processed","23161.03","Rice, broken","2010","2010","tonnes","2911","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5023","Processed","23161.03","Rice, broken","2011","2011","tonnes","2889","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5023","Processed","23161.03","Rice, broken","2012","2012","tonnes","3607","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5023","Processed","23161.03","Rice, broken","2013","2013","tonnes","1710","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5023","Processed","23161.03","Rice, broken","2014","2014","tonnes","2011","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5023","Processed","23161.03","Rice, broken","2015","2015","tonnes","2813","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5023","Processed","23161.03","Rice, broken","2016","2016","tonnes","1548","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5023","Processed","23161.03","Rice, broken","2017","2017","tonnes","2217","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5023","Processed","23161.03","Rice, broken","2018","2018","tonnes","1948","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","608","Philippines","5023","Processed","23161.03","Rice, broken","2019","2019","tonnes","9228.49","E","Estimated value"
