Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","356","India","5521","Feed","S2807","Rice and products","2010","2010","1000 tonnes","323","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5521","Feed","S2807","Rice and products","2011","2011","1000 tonnes","2045","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5521","Feed","S2807","Rice and products","2012","2012","1000 tonnes","1542","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5521","Feed","S2807","Rice and products","2013","2013","1000 tonnes","2458","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5521","Feed","S2807","Rice and products","2014","2014","1000 tonnes","3494","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5521","Feed","S2807","Rice and products","2015","2015","1000 tonnes","2346","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5521","Feed","S2807","Rice and products","2016","2016","1000 tonnes","4124","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5521","Feed","S2807","Rice and products","2017","2017","1000 tonnes","4119","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5521","Feed","S2807","Rice and products","2018","2018","1000 tonnes","4458","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5521","Feed","S2807","Rice and products","2019","2019","1000 tonnes","4338","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5521","Feed","S2807","Rice and products","2020","2020","1000 tonnes","4526","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5527","Seed","S2807","Rice and products","2010","2010","1000 tonnes","2667","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5527","Seed","S2807","Rice and products","2011","2011","1000 tonnes","3173","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5527","Seed","S2807","Rice and products","2012","2012","1000 tonnes","3076","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5527","Seed","S2807","Rice and products","2013","2013","1000 tonnes","3057","I","Imputed value"
"FBS","Food Balances (2010-)","356","India","5527","Seed","S2807","Rice and products","2014","2014","1000 tonnes","3085","I","Imputed value"
